Rank,Movie Title,IMDB Rating,Year Of Release,Duration
132, Some Like It Hot,8.2,1959,2h 1m
133, The Kid,8.2,1921,1h 8m
134, Green Book,8.2,2018,2h 10m
135, The Father,8.2,2020,1h 37m
136, Judgment at Nuremberg,8.3,1961,2h 59m
137, All About Eve,8.2,1950,2h 18m
138, Top Gun: Maverick,8.2,2022,2h 10m
139, The Truman Show,8.2,1998,1h 43m
140, Shutter Island,8.2,2010,2h 18m
141, There Will Be Blood,8.2,2007,2h 38m
142, Casino,8.2,1995,2h 58m
143, Ran,8.2,1985,2h 40m
144, Jurassic Park,8.2,1993,2h 7m
145, The Sixth Sense,8.2,1999,1h 47m
146, El Laberinto Del Fauno,8.2,2006,1h 58m
147, Unforgiven,8.2,1992,2h 10m
148, No Country for Old Men,8.2,2007,2h 2m
149, A Beautiful Mind,8.2,2001,2h 15m
150, The Thing,8.2,1982,1h 49m
151, The Treasure of the Sierra Madre,8.2,1948,2h 6m
152, Kill Bill: Vol. 1,8.2,2003,1h 51m
153, Yojimbo,8.2,1961,1h 50m
154, Monty Python and the Holy Grail,8.2,1975,1h 31m
155, The Great Escape,8.2,1963,2h 52m
156, Finding Nemo,8.2,2003,1h 40m
157, Rashōmon,8.2,1950,1h 28m
158, Prisoners,8.2,2013,2h 33m
159, Hauru No Ugoku Shiro,8.2,2004,1h 59m
160, The Elephant Man,8.2,1980,2h 4m
161, Chinatown,8.1,1974,2h 10m
162, Dial M for Murder,8.2,1954,1h 45m
163, Gone with the Wind,8.2,1939,3h 58m
164, V for Vendetta,8.2,2005,2h 12m
165," Lock, Stock and Two Smoking Barrels",8.1,1998,1h 47m
166, El Secreto De Sus Ojos,8.2,2009,2h 9m
167, Inside Out,8.1,2015,1h 35m
168, Raging Bull,8.1,1980,2h 9m
169," Three Billboards Outside Ebbing, Missouri",8.1,2017,1h 55m
170, Trainspotting,8.1,1996,1h 33m
171, The Bridge on the River Kwai,8.1,1957,2h 41m
172, Spider-Man: No Way Home,8.2,2021,2h 28m
173, Fargo,8.1,1996,1h 38m
174, Klaus,8.2,2019,1h 36m
175, Warrior,8.1,2011,2h 20m
176, Catch Me If You Can,8.1,2002,2h 21m
177, Godzilla Minus One,8.3,2023,2h 4m
178, Gran Torino,8.1,2008,1h 56m
179, My Neighbour Totoro,8.1,1988,1h 26m
180, Million Dollar Baby,8.1,2004,2h 12m
181, Harry Potter and the Deathly Hallows: Part 2,8.1,2011,2h 10m
182, Bacheha-Ye Aseman,8.2,1997,1h 29m
183, 12 Years a Slave,8.1,2013,2h 14m
184, Blade Runner,8.1,1982,1h 57m
185, Before Sunrise,8.1,1995,1h 41m
186, The Grand Budapest Hotel,8.1,2014,1h 39m
187, Ben-Hur,8.1,1959,3h 32m
188, Barry Lyndon,8.1,1975,3h 5m
189, Gone Girl,8.1,2014,2h 29m
190, Hacksaw Ridge,8.1,2016,2h 19m
191, The Gold Rush,8.1,1925,1h 35m
192, In the Name of the Father,8.1,1993,2h 13m
193, Salinui Chueok,8.1,2003,2h 11m
194, Dead Poets Society,8.1,1989,2h 8m
195, On the Waterfront,8.1,1954,1h 48m
196, The General,8.1,1926,1h 18m
197, The Deer Hunter,8.1,1978,3h 3m
198, Relatos Salvajes,8.1,2014,2h 2m
199, Mad Max: Fury Road,8.1,2015,2h
200," Monsters, Inc.",8.1,2001,1h 32m
201, Sherlock Jr.,8.2,1924,45m
202, The Third Man,8.1,1949,1h 44m
203, Smultronstället,8.1,1957,1h 31m
204, Le Salaire De La Peur,8.2,1953,2h 11m
205, Jaws,8.1,1975,2h 4m
206, How to Train Your Dragon,8.1,2010,1h 38m
207, Mary and Max,8.1,2009,1h 32m
208, Mr. Smith Goes to Washington,8.1,1939,2h 9m
209, Ford v. Ferrari,8.1,2019,2h 32m
210, Ratatouille,8.1,2007,1h 51m
211, Det Sjunde Inseglet,8.1,1957,1h 36m
212, Room,8.1,2015,1h 58m
213, The Big Lebowski,8.1,1998,1h 57m
214, Tokyo Story,8.1,1953,2h 16m
215, Rocky,8.1,1976,2h
216, Logan,8.1,2017,2h 17m
217, Spotlight,8.1,2015,2h 9m
218, Hotel Rwanda,8.1,2004,2h 1m
219, Platoon,8.1,1986,2h
220, The Terminator,8.1,1984,1h 47m
221, La passion de Jeanne d'Arc,8.1,1928,1h 50m
222, Before Sunset,8.1,2004,1h 20m
223, La haine,8.1,1995,1h 38m
224, The Best Years of Our Lives,8.1,1946,2h 50m
225, Jai Bhim,8.7,2021,2h 44m
226, The Exorcist,8.1,1973,2h 2m
227, Pirates of the Caribbean: The Curse of the Black Pearl,8.1,2003,2h 23m
228, Rush,8.1,2013,2h 3m
229, Network,8.1,1976,2h 1m
230, Stand by Me,8.1,1986,1h 29m
231, The Wizard of Oz,8.1,1939,1h 42m
232, The Incredibles,8.0,2004,1h 55m
233, Hachi: A Dog's Tale,8.1,2009,1h 33m
234, Into the Wild,8.1,2007,2h 28m
235, My Father and My Son,8.2,2005,1h 52m
236, Ah-ga-ssi,8.1,2016,2h 25m
237, The Sound of Music,8.1,1965,2h 52m
238, To Be or Not to Be,8.1,1942,1h 39m
239, The Grapes of Wrath,8.1,1940,2h 9m
240, La battaglia di Algeri,8.1,1966,2h 1m
241, Groundhog Day,8.0,1993,1h 41m
242, Amores perros,8.1,2000,2h 34m
243, Rebecca,8.1,1940,2h 10m
244, Cool Hand Luke,8.1,1967,2h 7m
245, The Iron Giant,8.1,1999,1h 26m
246, The Help,8.1,2011,2h 26m
247, It Happened One Night,8.1,1934,1h 45m
248, Dances with Wolves,8.0,1990,3h 1m
249, Aladdin,8.0,1992,1h 30m
250," Paris, Texas",8.1,1984,2h 25m
